stadium,state,lat,long
Banc of California Stadium ,CA,34.01281,-118.284477
Muncy Bank Ballpark at Historic Bowman Field,PA,41.242344,-77.047478
Lindner Family Tennis Center,OH,39.350521,-84.275139
American Family Field,WI,43.027954,-87.971497
LoanDepot Park,FL,25.778301,-80.220352
"Sloan Park, Mesa",AZ,33.431183,-111.882111
State Farm Stadium,AZ,33.527283,-112.263275
Allegiant Stadium,NV,36.090794,-115.183952
Soldier Field,IL,41.862366,-87.617256
Ford Field,MI,42.340115,-83.046341
Toyota Stadium,TX,33.15432,-96.835426
Hard Rock Stadium,FL,25.95796,-80.239311
Mercedes-Benz Stadium,GA,33.755489,-84.401993
USTA Billie Jean King National Tennis Center,NY,40.750694,-73.846336
Nassau Veterans Memorial Coliseum,NY,40.722897,-73.591064
Wells Fargo Center,PA,39.901333,-75.172592
Enterprise Center,MO,38.627033,-90.203178
Xcel Energy Center,MN,44.944675,-93.100594
Fiserv Forum,WI,43.045231,-87.917923
FedExForum,TN,35.138351,-90.051025
American Airlines Center,TX,32.790527,-96.810883
TD Garden,MA,42.366291,-71.06263
Arthur Ashe Stadium,NY,40.749859,-73.847595
SoFi Stadium,CA,33.953587,-118.33963
FirstEnergy Stadium,OH,41.506035,-81.700058
AT&T Stadium,TX,32.747841,-97.093628
Raymond James Stadium,FL,27.975958,-82.503693
Dodger Stadium,CA,34.073814,-118.240784
Roger Dean Stadium,FL,26.890959,-80.116577
Texas Memorial Stadium,TX,30.283682,-97.732536
Bryant-Denny Stadium,AL,33.208973,-87.550438
Tiger Stadium,LA,30.412035,-91.183815
Neyland Stadium,TN,35.955013,-83.925011
Kyle Field,TX,30.61025,-96.339844
Ohio Stadium,OH,40.001633,-83.019707
Beaver Stadium,PA,40.812195,-77.856102
Michigan Stadium,MI,42.265835,-83.748695
Yankee Stadium,NY,40.829659,-73.926186
University of Phoenix Stadium,AZ,33.528839,-112.263901
Fenway Park,MA,42.346268,-71.095764
Arlotta Stadium,IN,41.697578,-86.228096
Porcupine Stadium,TX,32.976746,-97.693474
Wrigley Field,IL,41.947746,-87.656036
Comerica Park,MI,42.338356,-83.048134
Circuit of the Americas,TX,30.133883,-97.641144
Wrigley Field,IL,41.948463,-87.6558
Strawberry Stadium,LA,30.511808,-90.468742
Rose Bowl Stadium,CA,34.161327,-118.167648
Paul Brown Stadium ,OH,39.096306,-84.516846
TIAA Bank Stadium,FL,30.323471,-81.636528
Busch Stadium,MO,38.62278,-90.193329
MetLife Stadium,NJ,40.813778,-74.07431
Lucas Oil Stadium,IN,39.759991,-86.163712
Heinz Field,PA,40.4468,-80.0158
Acrisure Stadium,PA,40.4468,-80.0158
Three Rivers Stadium,OH,40.4413,-80.0077
Mercedes-Benz Superdome,LA,29.9511,-90.0182
Louisiana Superdome,LA,29.9511,-90.0182
FedExField,MD,38.9077,-76.8645
TWA Dome,MO,38.6328,-90.1885
Lambeau Field,WI,44.5013,-88.0622
New Era Field,NY,42.7738,-78.787
Ralph Wilson Stadium,NY,42.7738,-78.787
Gillette Stadium,MA,42.0909,-71.2643
Foxboro,MA,42.0654,-71.2478
Cleveland Browns Stadium,OH,41.5061,-81.6995
Ericsson Stadium,NC,35.2258,-80.853
Seahawks Stadium,WA,47.5951,-122.3321
Adelphia Coliseum,TN,36.1665,-86.7713
M&T Bank Stadium,MD,39.278,-76.6227
Ravens Stadium,MD,39.278,-76.6227
PSINet Stadium,MD,39.278,-76.6227
Qualcomm Stadium,CA,32.7831,-117.1196
Husky Stadium,WA,47.6503,-122.3021
O.co Coliseum,CA,37.7516,-122.2005
McAfee Coliseum,CA,37.7516,-122.2005
Network Associates Coliseum,CA,37.7516,-122.2005
Ring Central Coliseum,CA,37.7516,-122.2005
Oakland-Alameda County Coliseum,CA,37.7516,-122.2005
CenturyLink Field,WA,47.5951,-122.3321
Qwest Field,WA,47.5951,-122.3321
Lumen Field,WA,47.5951,-122.3321
Dolphin Stadium,FL,25.9538,-80.2396
Monster Park,CA,37.7786,-122.3897
Tottenham Stadium,UK,51.6042,-0.0662
Paycore Stadium,OH,39.0955,-84.5161
Nippert Stadium,OH,39.1312,-84.5162
StubHub Center,CA,33.8644,-118.2611
Twickenham Stadium,UK,51.456,-0.3415
Los Angeles Memorial Coliseum,CA,34.0146,-118.2893
Nissan Stadium,TN,36.1665,-86.7713
Levi's Stadium,CA,37.4033,-121.9694
AT&T Stadium,TX,32.748,-97.0934
Mall of America Field,MN,44.8542,-93.2422
New Meadowlands Stadium,NJ,40.8135,-74.0745
EverBank Field,FL,30.3239,-81.6373
Cowboys Stadium,TX,32.748,-97.0934
Sun Life Stadium,FL,25.9583,-80.2396
TCF Bank Stadium,MN,44.9765,-93.2245
Rogers Centre,ON,43.6418,-79.3901
Candlestick Park,CA,37.7082,-122.385
Wembley Stadium,UK,51.556,-0.2796
Jacksonville Municipal Stadium,FL,30.3239,-81.6373
LP Field,TN,36.1665,-86.7713
Tiger Stadium (LSU),LA,30.412,-91.1838
Azteca Stadium,MX,19.3029,-99.1505
Alamo Dome,TX,29.417,-98.4788
Dome at America's Center,MO,38.6328,-90.1885
Memorial Stadium (Champaign),IL,40.0993,-88.236
Pontiac Silverdome,MI,42.3845,-83.1518
Alltel Stadium,FL,30.3239,-81.6373
Giants Stadium,NJ,40.4826,-74.0422
Sun Devil Stadium,AZ,33.4265,-111.9326
Hubert H Humphrey Metrodome,MN,44.5826,-93.1529
Texas Stadium,TX,30.2837,-97.7325
Georgia Dome,GA,33.7593,-84.3901
Pro Player Stadium,FL,25.9583,-80.2396
RCA Dome,IN,39.4549,-86.948
Reliant Stadium,TX,29.6847,-95.4107
Invesco Field at Mile High,CO,39.7439,-105.0201
Empower Field at Mile High,CO,39.7439,-105.0201
Sports Authority Field at Mile High,CO,39.7439,-105.0201
The Coliseum,CA,34.051,-118.1716
Edward Jones Dome,MO,38.6328,-90.1885
Allianz Arena,GER,48.2188,11.6248
Paycor Stadium,OH,39.0955,-84.5161
